"Function","CPU Time: Total","CPU Time: Self","Instructions Retired: Total","Instructions Retired: Self","Microarchitecture Usage: Total","Microarchitecture Usage: Self","Module","Function (Full)","Source File","Start Address"
"cu_rdcost_inter","1.13333","0.394667","8283200000","2043200000","0.366472","0.340133","xavs2","cu_rdcost_inter","rdo.c","0x2892e"
"biari_encode_symbol_aec","0.486222","0.387556","1934400000","1563200000","0.229946","0.22312","xavs2","biari_encode_symbol_aec","aec.c","0x6574a"
"aec_write_last_coeff_pos","1.256","0.387556","6132800000","2136000000","0.277189","0.361857","xavs2","aec_write_last_coeff_pos","aec_fastrdo.c","0x772f9"
"biari_encode_symbol_aec","0.536","0.384","1969600000","1387200000","0.204832","0.197904","xavs2","biari_encode_symbol_aec","aec.c","0x65ce6"
"memcpy","0.377778","0.377778","2024000000","2024000000","0.302071","0.302071","xavs2","memcpy","string_fortified.h","0x527e"
"__memmove_avx_unaligned_erms","0.371556","0.371556","1004800000","1004800000","0.153665","0.153665","libc-2.27.so","__memmove_avx_unaligned_erms","memmove-vec-unaligned-erms.S","0x18ead0"
"find_offset","0.367111","0.367111","3379200000","3379200000","0.518519","0.518519","xavs2","find_offset","sao.c","0x1f56e"
"xavs2_rdo_get_pred_intra_luma_rmd","0.827556","0.367111","3568000000","1156800000","0.284997","0.188851","xavs2","xavs2_rdo_get_pred_intra_luma_rmd","md_intra.c","0x21881"
"biari_encode_symbol_aec","0.496","0.363556","2083200000","1630400000","0.242776","0.222223","xavs2","biari_encode_symbol_aec","aec.c","0x650f6"
"xavs2_pixel_satd_8x8_avx2","0.352","0.352","3196800000","3196800000","0.482581","0.482581","xavs2","xavs2_pixel_satd_8x8_avx2","[Unknown]","0x1a87b0"
"xavs2_pred_inter_search_single","0.602667","0.341333","5132800000","2811200000","0.442007","0.496141","xavs2","xavs2_pred_inter_search_single","md_inter.c","0x85599"
"biari_encode_symbol_aec","0.455111","0.336889","1862400000","1472000000","0.23197","0.239069","xavs2","biari_encode_symbol_aec","aec.c","0x64bf0"
